Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14
;(2019-06-02;10:39:58.592949);can0;601;[8];02;8C;10;1C;00;CA;02;85
;(2019-06-02;10:39:58.593694);can0;602;[8];00;15;0;00;0E;D7;01;00
;(2019-06-02;10:39:58.697284);can0;601;[8];02;8E;10;1C;00;C6;02;85
;(2019-06-02;10:39:58.698037);can0;602;[8];00;16;0;00;0E;D7;01;00
;(2019-06-02;10:39:58.797699);can0;601;[8];02;8E;10;1C;00;C7;02;85
;(2019-06-02;10:39:58.798452);can0;602;[8];00;16;0;00;0E;D7;01;00
;(2019-06-02;10:39:58.902146);can0;601;[8];02;8F;10;1C;00;98;02;85
;(2019-06-02;10:39:58.902915);can0;602;[8];00;16;0;00;0E;D7;01;00
;(2019-06-02;10:39:59.002491);can0;601;[8];02;8E;10;1C;00;A9;02;85
;(2019-06-02;10:39:59.003239);can0;602;[8];00;16;0;00;0E;D7;01;00
;(2019-06-02;10:39:59.106929);can0;601;[8];02;8E;10;1C;00;99;02;85
;(2019-06-02;10:39:59.107674);can0;602;[8];00;16;0;00;0E;D7;01;00
;(2019-06-02;10:39:59.207371);can0;601;[8];02;8C;10;1C;00;91;02;85
